name,latitude_deg,longitude_deg,country,municipality,iata_code
Fort Smith Airport,60.020302,-111.961998,CA,Fort Smith,YSM
Niagara District Airport,43.191598,-79.171686,CA,Niagara-on-the-Lake,YCM
Marathon Airport,48.75529861450195,-86.34439849853516,CA,Marathon,YSP
Summerside Airport,46.440601,-63.833599,CA,Slemon Park,YSU
Pembroke Airport,45.86439895629883,-77.25170135498047,CA,Pembroke,YTA
Alma Airport,48.5089,-71.641899,CA,Alma,YTF
Thompson Airport,55.80110168457031,-97.86419677734376,CA,Thompson,YTH
CFB Trenton,44.118900299072266,-77.5280990600586,CA,Trenton,YTR
Timmins/Victor M. Power,48.5696983337,-81.376701355,CA,Timmins,YTS
Billy Bishop Toronto City Centre Airport,43.627499,-79.396202,CA,Toronto,YTZ
Montreal / Pierre Elliott Trudeau International Airport,45.467837,-73.742294,CA,Montréal,YUL
Hall Beach Airport,68.7761,-81.2425,CA,Sanirajak,YUX
Rouyn Noranda Airport,48.20610046386719,-78.83560180664062,CA,Rouyn-Noranda,YUY
Bonaventure Airport,48.071098,-65.460297,CA,Bonaventure,YVB
La Ronge Airport,55.1514015198,-105.262001038,CA,La Ronge,YVC
Virden / RJ (Bob) Andrew Field Regional Aerodrome,49.8783,-100.917999,CA,Virden,
Vernon Regional Airport,50.246163,-119.330963,CA,Vernon,YVE
Val-d'Or Airport,48.0532989502,-77.7827987671,CA,Val-d'Or,YVO
